seed,initial_x,reward,duration,loss
695127481,-0.5931454300880432,-200.0,200,7.351822796408669e-07
1728831099,-0.45404550433158875,-200.0,200,8.06490743343602e-08
2133867665,-0.46882209181785583,-200.0,200,1.886200133867533e-05
847799477,-0.580129861831665,-200.0,200,4.7478481064899823e-07
1908778021,-0.4311940670013428,-200.0,200,2.1775854793304463e-06
222507812,-0.40938398241996765,-200.0,200,8.619939799245912e-06
1899775975,-0.573336660861969,-200.0,200,1.0479014144948451e-06
1695828706,-0.561074435710907,-200.0,200,1.717873570669326e-05
534338063,-0.41616544127464294,-200.0,200,2.2377687855623662e-07
1509906142,-0.45123422145843506,-200.0,200,4.095607118870248e-07
1940013300,-0.534329354763031,-200.0,200,3.5327448495081625e-05
736559768,-0.5151817202568054,-200.0,200,1.0069042577924847e-05
579480980,-0.42915868759155273,-200.0,200,2.0828438209719025e-08
1481925338,-0.40850013494491577,-200.0,200,1.9256103769293987e-08
1157963994,-0.40981587767601013,-200.0,200,1.1569023172341986e-07
896548759,-0.49715474247932434,-200.0,200,5.00420069329266e-07
1467361458,-0.5709956288337708,-200.0,200,3.203284377377713e-06
1659085288,-0.44064199924468994,-200.0,200,2.409178391644673e-05
1634930689,-0.4728687107563019,-200.0,200,1.1970438799835393e-06
884361511,-0.5225621461868286,-200.0,200,2.5910439944709653e-08
333517453,-0.41432082653045654,-200.0,200,4.5850219066778663e-07
615164183,-0.579095184803009,-200.0,200,4.720994479612273e-06
1860564751,-0.46520957350730896,-200.0,200,3.126274931219086e-05
662096317,-0.4949689209461212,-200.0,200,4.5392557694867716e-08
223743331,-0.5588007569313049,-200.0,200,1.7929942259797827e-08
262149089,-0.4164431691169739,-200.0,200,3.9139877117122523e-08
1510738028,-0.5766251683235168,-200.0,200,7.719227596680866e-08
733212190,-0.4316837787628174,-200.0,200,2.339884185403207e-05
1736633189,-0.40562283992767334,-200.0,200,1.2953404393556411e-06
28184338,-0.42423906922340393,-200.0,200,1.6630215668556047e-07
44491102,-0.49651122093200684,-200.0,200,7.516172900068341e-08
1675166867,-0.444445937871933,-200.0,200,1.2863201272921287e-05
794620587,-0.5492709875106812,-200.0,200,2.2894753783475606e-06
2017761745,-0.4038761854171753,-200.0,200,1.476630268371082e-07
1015782649,-0.5795326828956604,-200.0,200,6.229110144886363e-06
2082797051,-0.5580537915229797,-200.0,200,2.822412273417285e-05
1414389803,-0.4906599223613739,-200.0,200,1.0764838407339994e-08
1890946783,-0.5678651332855225,-200.0,200,1.582693130330881e-08
540983957,-0.5740181803703308,-200.0,200,5.164390449863276e-07
62900230,-0.4663464426994324,-200.0,200,6.8133089234834186e-06
1866106126,-0.5145601630210876,-200.0,200,3.424431768962677e-05
1704303131,-0.44421347975730896,-200.0,200,1.0420054263704514e-05
2127541194,-0.4882451891899109,-200.0,200,9.159593901131302e-09
589823755,-0.5842380523681641,-200.0,200,1.3145668162906077e-08
251033886,-0.40031948685646057,-200.0,200,2.1318164726835675e-08
359488949,-0.4848681390285492,-200.0,200,6.321969522105064e-08
2076584325,-0.4891975522041321,-200.0,200,5.714071439797408e-06
1503218254,-0.5970621705055237,-200.0,200,9.793985736905596e-06
799460095,-0.48474135994911194,-200.0,200,3.985037965321681e-06
1716810788,-0.42400991916656494,-200.0,200,4.231108732710709e-07
1222506307,-0.5956052541732788,-200.0,200,3.548245972524455e-05
62214025,-0.41903966665267944,-200.0,200,7.51692909943813e-07
863680353,-0.4750531315803528,-200.0,200,7.536868906754535e-09
39697541,-0.4069051146507263,-200.0,200,2.135512204404222e-08
1436783712,-0.5407455563545227,-200.0,200,2.859182995962328e-07
127175716,-0.5445917248725891,-200.0,200,2.1794238268739718e-05
470031181,-0.5332609415054321,-200.0,200,6.668026449005993e-06
1461674712,-0.5227511525154114,-200.0,200,1.5205000636342448e-08
1673826750,-0.45511922240257263,-200.0,200,1.0849803402379621e-08
1765634846,-0.5590662360191345,-200.0,200,6.858923825348028e-08
804669086,-0.5973093509674072,-200.0,200,1.1377660143807589e-05
2142787096,-0.5929170846939087,-200.0,200,1.3622654541904922e-05
1158297706,-0.4101535677909851,-200.0,200,3.910645318683237e-08
2114875522,-0.5081161260604858,-200.0,200,1.5571777566947276e-07
2094514633,-0.40778258442878723,-200.0,200,1.7896043027576523e-05
676009497,-0.5386874675750732,-200.0,200,9.229033821611665e-09
286951238,-0.4036976397037506,-200.0,200,7.141487594708451e-07
757091127,-0.5795626640319824,-200.0,200,2.5595886927476386e-05
1067571711,-0.5194408893585205,-200.0,200,2.8342798259473057e-06
959578365,-0.540789008140564,-200.0,200,1.4928523341950494e-08
1999706412,-0.5988947153091431,-200.0,200,6.538899924635188e-08
1777497466,-0.5137041807174683,-200.0,200,1.2820753108826465e-05
1698690315,-0.5958848595619202,-200.0,200,1.3748571777796315e-05
283891584,-0.4456702768802643,-200.0,200,1.7067413864424452e-08
2140628939,-0.5502045750617981,-200.0,200,2.2252643248066307e-08
1905571719,-0.5072963237762451,-200.0,200,1.4949802789487877e-07
1507025202,-0.46756550669670105,-200.0,200,8.713156080375484e-06
1139533285,-0.4781205654144287,-200.0,200,1.3325511090442888e-05
1603071274,-0.46215400099754333,-200.0,200,1.0819756139426318e-05
