seed,initial_x,reward,duration,q_update
742871160,-0.43083447217941284,-200.0,200,-81.16512495105577
2094292656,-0.5685900449752808,-200.0,200,-51.043266980259055
1845541396,-0.5118032097816467,-200.0,200,-46.35944748725366
1677947092,-0.4312119781970978,-200.0,200,-85.93892859947687
914663189,-0.5193696022033691,-200.0,200,-46.7691725468154
1547369895,-0.47266989946365356,-200.0,200,-79.26729166185639
973994704,-0.4979342520236969,-200.0,200,-79.78421087115542
625444820,-0.4390445947647095,-200.0,200,-121.90152785142672
1690356861,-0.5549769997596741,-200.0,200,-75.98902301100402
577007873,-0.4555547833442688,-200.0,200,-80.0447211116057
1368410802,-0.4652635455131531,-200.0,200,-75.34847276634335
782176062,-0.49918508529663086,-200.0,200,-52.764353662978685
1115422292,-0.49522072076797485,-200.0,200,-62.06370792408714
1581997602,-0.5609959363937378,-200.0,200,-95.16007306905301
1813995407,-0.555546224117279,-200.0,200,-56.79177137051051
1180079438,-0.5293363332748413,-200.0,200,-70.52643715964943
2059317302,-0.5540722608566284,-200.0,200,-33.07040447210596
940339182,-0.49161192774772644,-200.0,200,-52.52739961333228
194468127,-0.49353665113449097,-200.0,200,-90.98957907676186
889243847,-0.4680963158607483,-154.0,154,-46.134747211746316
1864338761,-0.40216341614723206,-178.0,178,-79.0490006342535
1337345628,-0.5576401352882385,-200.0,200,-66.45945402101923
2023088488,-0.5823653936386108,-196.0,196,-73.53994036693909
1440233151,-0.5370932817459106,-200.0,200,-61.62566968150363
643351120,-0.410111665725708,-178.0,178,-68.6113433523161
1203072354,-0.49858054518699646,-200.0,200,-63.52508082480478
232828868,-0.497622013092041,-200.0,200,-64.01397519785354
2113254081,-0.5402680039405823,-200.0,200,-86.21961080414654
2122513913,-0.5565550923347473,-197.0,197,-57.47530824836438
1964051474,-0.5767191052436829,-200.0,200,-67.62493471149084
1393893276,-0.5076271891593933,-200.0,200,-126.07191063891608
1040686776,-0.48474323749542236,-200.0,200,-73.97376227659348
1536569792,-0.5873939394950867,-200.0,200,-103.48332571585388
687196540,-0.5594648718833923,-200.0,200,-89.49513681354173
662261679,-0.5590773820877075,-200.0,200,-104.76655596221819
961851212,-0.5937126278877258,-200.0,200,-79.86995317553138
120118335,-0.5360739231109619,-200.0,200,-61.88597163932902
171911250,-0.4645419120788574,-200.0,200,-128.20043116394743
1439889417,-0.5793933272361755,-200.0,200,-77.39275800360895
1077536263,-0.45101651549339294,-200.0,200,-85.75084860020321
1813095229,-0.5570262670516968,-200.0,200,-79.60444037091582
281568869,-0.5065046548843384,-200.0,200,-67.20451652632804
372330398,-0.47892728447914124,-200.0,200,-95.75745208641251
1826969477,-0.4493444561958313,-200.0,200,-104.88137122192208
1398836478,-0.5481964349746704,-200.0,200,-68.9186857247233
870730524,-0.5147141218185425,-200.0,200,-89.34759567110422
1434471600,-0.5027130842208862,-169.0,169,-47.493835516113954
532164825,-0.49600890278816223,-200.0,200,-84.44864626181891
825626721,-0.5477691292762756,-200.0,200,-64.3087797206524
949300540,-0.5647934079170227,-200.0,200,-116.09945844388216
1435558169,-0.46812015771865845,-200.0,200,-80.61702972331892
574907462,-0.4680912494659424,-200.0,200,-92.44745460191221
1888694543,-0.5679194331169128,-200.0,200,-150.60080976302402
242756880,-0.510572075843811,-200.0,200,-65.71926406946768
263006053,-0.4867769181728363,-200.0,200,-75.70351330573988
1105976363,-0.5605561137199402,-200.0,200,-68.92212393816688
975679677,-0.4677077531814575,-200.0,200,-112.03091124100906
964697470,-0.4562428891658783,-167.0,167,-65.84971103236197
392527603,-0.4243677854537964,-200.0,200,-70.91327237466422
542578986,-0.46880829334259033,-200.0,200,-69.86504276059881
1195868661,-0.4671398997306824,-200.0,200,-95.32530727493835
756813759,-0.5000313520431519,-154.0,154,-35.92682970143142
799627823,-0.5145645141601562,-194.0,194,-66.42158628937302
683447382,-0.49120011925697327,-200.0,200,-50.752893780964015
626419316,-0.5044839978218079,-165.0,165,-52.50485272172749
1883298792,-0.4195769727230072,-168.0,168,-52.090668372042316
1058590976,-0.402122437953949,-187.0,187,-81.76541908455516
753282042,-0.5185785293579102,-198.0,198,-56.43272585943479
1326903762,-0.556835412979126,-149.0,149,-30.321772408415875
756907114,-0.4738398492336273,-200.0,200,-82.95128580011698
585170297,-0.5678848028182983,-200.0,200,-102.21214016586448
547808304,-0.5073707103729248,-200.0,200,-88.89058609713351
1891454801,-0.4852483868598938,-200.0,200,-95.34046086848171
1703132158,-0.48797231912612915,-200.0,200,-60.26538304074483
354542810,-0.4509783685207367,-168.0,168,-64.3823203534554
1374298351,-0.49514997005462646,-183.0,183,-54.52368925187802
1026703218,-0.4765290915966034,-200.0,200,-93.76300949172891
1614307716,-0.4762941002845764,-200.0,200,-77.6626565714611
704295100,-0.4752858281135559,-163.0,163,-47.93502467843796
659827185,-0.40947696566581726,-158.0,158,-67.7930978906279
1421981319,-0.5857295989990234,-188.0,188,-78.71599549666642
370697375,-0.5162267088890076,-200.0,200,-66.15823096220613
952397826,-0.40164056420326233,-160.0,160,-60.64544726420085
480785336,-0.4790149927139282,-160.0,160,-35.42428807254723
993702449,-0.43492990732192993,-164.0,164,-33.385359630213095
1793381802,-0.4591241776943207,-200.0,200,-110.37685527425643
456022406,-0.4013815224170685,-166.0,166,-59.67896832133165
172487026,-0.5336109399795532,-200.0,200,-94.31201072626237
1117956802,-0.4997130334377289,-200.0,200,-96.80938064607076
2119278594,-0.5559395551681519,-197.0,197,-99.06431779279335
995011036,-0.40055957436561584,-166.0,166,-90.34389949323285
1061292606,-0.43463239073753357,-171.0,171,-36.05017215309159
1518569633,-0.5477930903434753,-200.0,200,-68.96843293350626
1406323218,-0.4290510416030884,-200.0,200,-101.70624997364115
2104588002,-0.4520101547241211,-200.0,200,-99.2924945963004
